ZoonosesDic-id	lexicalCue	lexicalCue_jpn	exactID	synonymID	lexicalTextAE-span	Registered	LastUpdated
ZoonosesDic-id_1	Ethnomedicinal	伝統医学	MESH:D008519		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/0-14	2021-09-26	
ZoonosesDic-id_2	in vitro	生体外			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/26-34	2021-09-26	
ZoonosesDic-id_3	anti-inflammatory	抗炎症		MESH:D000893	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/51-68	2021-09-26	
ZoonosesDic-id_4	antispasmodic properties	鎮痙特性	MESH:D010276		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/73-97	2021-09-26	
ZoonosesDic-id_5	termite	シロアリ	Tax:1912919		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/105-112	2021-09-26	
ZoonosesDic-id_6	Macrotermes bellicosus	オオキノコシロアリ	Tax:201577		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/120-142	2021-09-26	
ZoonosesDic-id_7	traditional medicine	伝統薬	MESH:D016488		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/151-171	2021-09-26	
ZoonosesDic-id_8	Republic of Benin	ベナン共和国	MESH:D001541		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/179-196	2021-09-26	
ZoonosesDic-id_9	fungus	キノコ（を共生）	Tax:4751		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/377-383	2021-09-26	
ZoonosesDic-id_10	termites	シロアリ	Tax:1912919		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/392-400	2021-09-26	
ZoonosesDic-id_11	Macrotermes bellicosus	オオキノコシロアリ	Tax:201577		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/406-428	2021-09-26	
ZoonosesDic-id_12	M. bellicosus	オオキノコシロアリ	Tax:201577		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/430-443	2021-09-26	
ZoonosesDic-id_13	nutrition	栄養源	MESH:D000066888		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/464-473	2021-09-26	
ZoonosesDic-id_14	sub-Saharan Africa	サハラ以南のアフリカ	MESH:D017954		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/523-541	2021-09-26	
ZoonosesDic-id_15	30	30人			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1400-1402	2021-09-26	
ZoonosesDic-id_16	healers	ヒーラー（治療師）	MESH:D010820		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1410-1417	2021-09-26	
ZoonosesDic-id_17	its	オオキノコシロアリ	Tax:201577		https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1454-1457	2021-09-26	
ZoonosesDic-id_18	products	生成物			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1458-1466	2021-09-26	
ZoonosesDic-id_19	termites' mound	シロアリの塚		MESH:D000077215	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1468-1483	2021-09-26	
ZoonosesDic-id_20	fungus comb	菌床			https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1488-1499	2021-09-26	
